comment,final_comment,label
"Hallo warga sipil sekalian jam 11 malam. ini gue menunggu pembuktian santet dari seseorang yang mengatakan pukul 00.00 WIB gue bakal kena, jadi mari kita saksikan bersama di live youtube",halo warga sipil sekalian jam malam ini saya menunggu pembuktian santet dari seseorang yang mengatakan pukul wib saya akan kena jadi mari kita saksikan bersama di live youtube,0
"Indonesia butuh orang orang spt lu bang, gw respect",indonesia butuh orang orang seperti kamu kakak saya respect,0
"Gini amat pejabat publik demi rakyat nya.dosa nya ngak buat diri nya aja,membiarkan penyakit buat masyarakat.",seperti ini amat pejabat publik demi rakyat nya dosa nya enggak buat diri nya saja membiarkan penyakit buat masyarakat,0
kupas terus,kupas terus,0
AYo bang semangatt !!!!,ayo kakak semangat,0
"bang tolong saya bang,,,saya ga bisa berhenti,",kakak tolong saya kakak saya tidak bisa berhenti,0
Teryata mereka dilindungi negara.,teryata mereka dilindungi negara,0
"logika bodohnya, budi ari yg membuat, merekrut penjahat nya & masih belum tersentuh",logika bodohnya budi ari yang membuat merekrut penjahat nya masih belum tersentuh,0
Hati hati sama orang terdekat bg,hati hati dengan orang terdekat kakak,0
"Jgn sampe abis ini ruu penyiaran disahin, konten kaya gini bakal kena",jangan sampai habis ini ruu penyiaran disahin konten kayak seperti ini akan kena,0
"saya mau tanya.  ""duitnya...buat  jokowi nda ya????",saya mau tanya duitnya buat jokowi indak ya,0
"Bang coba kalo mau bahas tentang habib"" baalwi yaman klo ga salah,yang katanya nih ya,membohongi masyarakat muslim kita,agar masyarakat kita selalu percaya kepada mereka padahal mereka hanya menguras kepintaran masyarakat pribumi",kakak coba kalau mau bahas tentang habib baalwi yaman kalau tidak salah yang katanya nih ya membohongi masyarakat muslim kita agar masyarakat kita selalu percaya kepada mereka padahal mereka hanya menguras kepintaran masyarakat pribumi,0
"pak budi kan sudah pernah klarifikasi, bahwa dia akan/lagi fokus ke koperasi
sekarang kita bisa liat kan bahwa koperasinya sukses, liat aja tuh udah panen berapa milyar hasil dari koperasi judol mereka, coba tanyain bang ke kominfo yang terciduk, kali aja mereka juga ngasih KUR buat bisnis judol",pak budi kan sudah pernah klarifikasi bahwa dia akan lagi fokus ke koperasi sekarang kita bisa lihat kan bahwa koperasinya sukses lihat saja tuh sudah panen berapa milyar hasil dari koperasi judi online mereka coba tanyakan kakak ke kominfo yang terciduk kali saja mereka juga mengasih kur buat bisnis judi online,0
Sad bor di angkat jadi duta anti judi online,sad bor di angkat jadi duta anti judi online,0
"Sebagai seorang muslim gwa berdoa "" ya allah muliakanlah bapak feri irwandi ini aamiiin "" .semangat bang 👊👍",sebagai seorang muslim gwa berdoa ya allah muliakanlah bapak feri irwandi ini amin semangat kakak,0
Anak bhipuri zerpong yaa.. Paranin aja rumahnya.. Pasti pada tau di mana tuh anak,anak bhipuri zerpong ya paranin saja rumahnya pasti pada tau di dimana tuh anak,0
Hacker byorka apa kabar ?,hacker byorka apa kabar,0
"rezim pinokio penghancur negeri.. 90% pejabat di era dia bejat,  giliran yg lurus di singkirkan. tangkap tuh si budi Arie dan si T yang masih jadi pejabat .",rezim pinokio penghancur negeri pejabat di era dia bejat giliran yang lurus di singkirkan tangkap tuh si budi arie dan si t yang masih jadi pejabat,0
Kandangin sampe ke kepala2nya..,kandangin sampai ke kepala2nya,0
Eh btw dulu ada issue yang sampe ada pembahasan kalo Serdi Fambo itu juga melindungi & punya situs slot dg kode 303 atau apa lah lupa.,eh by the way dulu ada issue yang sampai ada pembahasan kalau serdi fambo itu juga melindungi punya situs permainan judi dengan kode atau apa lah lupa,0
"GUE GA TAKUT MATI 
CUMA GUA GAMAU MATI SIA"" AJA SIH!! GILA GUE SEBAGAI WARGA INDONESIA BANGGA BGT SAMA LU BG UDH MAU BERJUANG BUAT INDONESIA JAUH LEBIH BAIK, BRANTAS TERUS PARA PEMERINTAH TIKUS"" KANTOR!!",saya tidak takut mati cuma saya enggak mau mati sia saja sih gila saya sebagai warga indonesia bangga banget dengan kamu kakak sudah mau berjuang buat indonesia jauh lebih baik brantas terus para pemerintah tikus kantor,0
Mentri zionis ngga sih?,mentri zionis enggak sih,0
semangat bang,semangat kakak,0
GUNAWAN SADBOR JADI DUTA ANTI JUDOL LUCU BET ANYING AOWKAOWKAOW.,gunawan sadbor jadi duta anti judi online lucu banget anying aowkaowkaow,0
"mau tau fakta menyedihkannya...


orang2 yg bekerja di negara judi online sana, bandar, atau para cukong2 yg ngebuat website judol menonton ini sambil cengar cengir karena mereka merasa tidak ""tersentuh""

kecuali untuk kroco2 kayak pekerja admin judolnya sih, ada temen se circle ane yg sempet balik oktober lalu trus gak bisa balik karena dia nyebut istilah ""lampu merah""
kayaknya salah satu pencegahannya ya itu, ngebuat si ""lampu merah"" ini supaya pekerja2nya gak balik lg kesono",mau tau fakta menyedihkannya orang-orang yang bekerja di negara judi online sana bandar atau para cukong2 yang ngebuat website judi online menonton ini sambil cengar cengir sebab mereka merasa tidak tersentuh kecuali untuk kroco2 seperti pekerja admin judolnya sih ada teman se circle ane yang sempat balik oktober lalu terus tidak bisa balik sebab dia nyebut istilah lampu merah kayaknya salah satu pencegahannya ya itu ngebuat si lampu merah ini agar pekerja2nya tidak balik lagi kesono,0
selain influncer katak bhizer da n goyang sadbor ada juga jual beli beberapa situs yg sudah di  BACKDOOR untuk pendistribusian url web judol 😅 😅,selain influncer katak bhizer sudah dan goyang sadbor ada juga jual beli beberapa situs yang sudah di backdoor untuk pendistribusian url web judi online,0
Hukum mati mereka pelaku bisnis judol dan para pelindungnya,hukum mati mereka pelaku bisnis judi online dan para pelindungnya,0
