text,label
assalamu'alaikum..,0
wa'alaikumussalam,0
udah lewat 22 menit ni,0
16:30 wib,0
Tribun Tv Mana Ini Kenapa Acaranya Belum Dimulai Ini Wayang Jogja Night Carnival,0
Saya Nonton Apa Ini Tribun Tv Kenapa Acara Wayang Tribun Night Carnival Tak Kunjung Dimulai,0
kapan mulainya min? pengen keburu nonton,0
assalamu'alaikum,0
lama,0
ini nanti bakal live disini taa?,0
mash nnt jam 7an hbs isya,0
la yang reog ponorogo tuh kok tulisannya jam 16.00 ya,0
apa sebagian udah mulai,0
ngko aku tak melu ngebakki dalan:beaming_face_with_smiling_eyes:,0
sampai kapan min,0
nak irvan pindah ajh dr sebelah..,0
"selamat ulang tahun ke-268, kota Yogyakarta. Rahayu, rahayu, rahayu ...",0
"nonton dari rumah jalah, malas macet2",0
reng ponorogo udah tampil belum ya teman* ?,0
acara intinya nanti jam 19.00 ya gaes ya,0
"selamat ulang tahun Jogjaku tercinta, terimakasih sudah menjadi kota penuh kenangan",0
jogja memang istimewa,0
otw ke tugu,0
untung rumah ku deket :loudly_crying_face:,0
adzan2,0
trimakasih tribun Jogja saya bisa lihat gak desak2 dan gak harus ketugu,0
adzan boss adzan,0
kebagian paling depan :loudly_crying_face:,0
ak bakalan tunggu di sini buat liat wayang :loudly_crying_face:,0
beli jajan dulu laper :smiling_face_with_tear:,0
Adzan monggo solat rumiyen,0
parkirnya dimana ya gaes??,0
harus y ad videotron biar bisa liat di jauhh,0
"muleh wae mas nonton live tribun,macet dan desak desakan",0
aq liat dri sini ja,0
infonya yg dilokasi :grinning_face_with_sweat:,0
yg di lokasi pooolll rame ne,0
kapan diwiwiti,0
sukses...wjnj2024,0
suwun infone mas wkwk,0
ini dimulai siaran livenya kapan ?,0
gasss biar tambah kebek:grinning_face_with_smiling_eyes:,0
kok blm mulai nie,0
yogyakarta istimewa,0
padahal wes mulai kawit jam 4 mau,0
ini kapan mulainya?,0
Mana band nya dulu ,0
kapan mulai nya ka,0
lagi persiapan,0
nanti habis isya,0
jam 19.00,0
assalamualaikum,0
waalaikumsalam,0
kangen Jogja ga bisa nonton langsung,0
AYOOOO GASKEN LIVE,0
START HABIS ISYA,0
parkirny dmn nih??,0
kangen ke jogja,0
klo mau parkir dmn??,0
awas awas saytan,0
klo mau parkir dmn??,0
pasukan turah turah kuota nonton live ,0
klo mau parkir dmn??,0
mobil atau montor,0
menyala jogja:fire::fire:,0
Jogja ku Istimewa...,0
sugeng ambal warsa kotaku jogja,0
Kapan Mulai Nieh :smiling_face_with_hearts:,0
mobil abubakar ali montor utara tugu jogja ,0
mulai jam berapa?,0
habis isya,0
jam brp mulainyaaaa,0
kemarin ulang tahun gunung kidul. sekarang jogja. DIY memang istimewa,0
HBD JOGJA,0
selamat ulang tahu Jogja aku semoga Jogja semakin berubah semoga Jogja tetap istimewa Yogyakarta,0
jam 18.00 kayaknya baru mulai band. kalo di Randown gitu,0
ada temenku disitu,0
:face-blue-covering-eyes:,0
:face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
selamat ulang tahun jogjanya Indonesia,0
maghriban dulu gaess,0
kalian ikut lihat ga,0
kapan mulai bos?,0
di tugu,0
mulai jam berapa?,0
JAM 4 TAPI PEMBUKAAN,0
halo,0
18.30,0
blm mulai?,0
udah,0
kalo ga salah,0
PARKIRAN PENUH,0
tadi cuma tari tari ya?,0
@pipiet macet jalan,0
oya,0
mulai Jam 6,0
yang lihat siapa hayo,0
kalo di Randown jam 18.00 mulai,0
aku Aisyah,0
met taun juga buat adeku,0
PARKIR 5000,0
mahal bet,0
VIP 500 RIBU,1
SELAMAT HARI JADI KOTA YOGYAKARTA 268 — sukses selalu Yogyakarta. Sukse semua buat warga jogja dan orang orang yang merantau di jogja. Love :red_heart::red_heart:,0
siapa yang mau jadi temen i,0
biasa parkir motor kalau pas ada iven 5rb,0
serlok Aisah,0
apanya,0
g adil,0
KLO MAU LIAT PARKIR DI MD,0
katanyaau di tmani,0
apa² pke tiket skrg,0
tanya yg disana,0
JOGJA ISTIMEWA,0
d jual belikan,0
murahlah parkir 5ribu .. parkir motor .m,0
sampe jam brp,0
"mending nonton livestreaming nya aja dari pada liat langsung pada sempit sempitan, ketutupan, ga bisa liat semuanya, males bayar parkir:face_with_hand_over_mouth:",0
masih bisa kah sampai sana,0
temen online di YouTube.bukan kesana:face_with_hand_over_mouth:,0
ADA PESTA KEMBANG API NYA LHO,0
aku kelas empat,0
MENDING NONTON LIVESTREAM SOALNYA JALAN KE JOGJA UDAH DI PENUH,0
woo tak kira di lokasi,0
gak bisa pulangg.. aduhh,0
aku kelas 1,0
maaf :grinning_squinting_face:,0
the most correct way to watch live streaming,0
Darmo Sanjaya kelas Berapa,0
kelas bawah menengah,0
puncak acara masih sampai malam. gak usah pulang:face-blue-smiling:,0
hah berapa itu,0
kalau pas malam minggu kemarin hari jadi gunungkidul,0
:face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
gunung kidul kemarin,0
kamu cowo kan,0
mulai nya jam berapa ini,0
18:30,0
Hallo inggil,0
bang masih lama gak,0
tunggu aja,0
kamu cewe juga khan,0
Wow,0
SELAMAT HARI JADI KOTA YOGYAKARTA— dari ARSY ADARA KYRANI PUTRI HADININGRAT SD MUHAMMADIYAH JOGOKARIYAN ,0
ya lah nama gw aja Aisyah,0
:face-purple-crying::face-purple-crying:,0
Darmo Sanjaya .kita mulai akur ya,0
jaya,0
katanya sih 18:00,0
Aisyah,0
jam 18.00-18.30 encore band,0
yang pasti kalau gunungkidul meriah pasti jogja semakin meriahhhhh,0
halo,0
maap kalo salah,0
Tdi kok kaya dah mulai nari2,0
ini masih lama ya,0
aku meh nonton tapi rarwti tempat parki e,0
kamu dipanggil siapa Darmo sanjaya,0
parkir mcd,0
ah males ada kelas malam,0
parkir MCD paling wes kebak,0
aku ikut,0
pawai,0
hoo ,0
ini masih lama ya,0
Selamat Ulang Tahun Kota Yogyakarta Yang Ke- 768:partying_face:,0
sopo seng wong jowo,0
yuhuu,0
info parkir motor yg blm full,0
Kamar tidur,0
nek ngegrab tekan bengi aku seng Wedi wkwwk,0
aku,0
pgn nonton bali kerjo jam 9 i pie,0
halo,0
Eh Salah Maksudnya 268 :partying_face:,0
bukan 768 ya..268,0
jam 9 wes meh rampung ya ini wkwkw,0
Aisyah aku di xt square jogja,0
bukann jam 9..jam 10,0
@DARMO SANJAYA. Kamu kelas berapa aku blm ngerti:socialdist:,0
selamat ulang tahun jongja ke 268 dari SD muhamadiyah suronatan dari yanas,0
oke,0
Lah aq d xt square,0
berarti kamu SMP 3,0
kaget ndengernya,0
gw masih bocil,0
@shallyHafa masa,0
aku nga di ijin mama aku,0
xt kan custom fest motor,0
mulai 18.30 y?,0
ya adena,0
"siapa yg tinggal di Jogja di sini pengen ke sana tapi ga jadi karena ga ada yg nganter kalo sama kakak pada pergi sama temennya ke bioskop,saya saya :pensive_face::grinning_face_with_sweat: Selamat ulang tahun Jogja",0
bocil di larang coment,0
maaf nama aku Aisyah humaira.maaf kalo aku gj dari tadi:smiling_face_with_tear::pensive_face:,0
mas aku ulang tahun hari ini,0
indah magelang nyimak,0
parkir arah barat rama sakti masih agak longgar,0
kamu ngelarang aku,0
wkwkw banyak bocil,0
wah beruntung yang ultah sekarang,0
apalah soksik,0
macet dari baratnya,0
wkwkwkkwk,0
yaudah aku keluar aja,0
Woww :partying_face:,0
selamat ultah Yogyakarta.. tetap keren selamanya,0
penuh banget,0
Tahun lalu kami disini... Skrg sudah beda Kota.. :folded_hands::two_hearts: Jogjakarta di Hati,0
di rayain yg ultah hari ini,0
ulang tahun di ucapin selamat Jogja wkwkwkwkwkk,0
males aku sama kalian,0
jangan ya dek ya,0
apalah pipit nih,0
selamat ulang tahun' kak untuk rafaellio :grinning_face_with_sweat:,0
dek aisyah,0
aku ultah hari ini,0
arah barat macet?,0
sama om aja dek sini @pipiet:person-turqouise-waving::face-blue-smiling:,0
inf yh msi longar?,0
oke kak arif,0
"selamat ulang tahun jogja, associate k24 nyimak :grinning_face_with_sweat:",0
dari arah timur padat blm yah?,0
parkir di rama sakti longgar,0
om ku bukan tinggal di sini,0
kiw,0
makasih yang udah jawab bye,0
mas cinifal ledemas,0
okk,0
enak ya kalau ulang tahun berang jogja,0
saya jadi om yg disini aja:face-blue-smiling::face-blue-smiling:,0
aku kalo kakak ku udh Pulang jam 7 nonton jam segitu masih bisa ora min,0
acara mulai jm brp?,0
selamat ulang tahun jogja,0
sebenarnya aku kelas 2 smk,0
18.ep,0
18.30 yaa mulai nyaa,0
jam 4 tadi udah mulai,0
nuryani,0
aku le cah Jogja Ra ISO nonton,0
selamat ulang tahun Jogja yang ke 268,0
okei,0
lah kog naik nya cepet dek Aisyah,0
nonton di rumah:virtualhug::virtualhug::virtualhug:,0
kebak nonton seko omah wae haha,0
